Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-02-07 19:42:53,false,"Louisville - Base","9.41","671","00:47:44","148","170","3.0","164","214","5:04","3:12","20","24","1.20","0.0","7,874","No","00:02:44.2","10","00:47:24","00:49:40","139","149"
Treadmill Running,2026-02-06 07:43:22,false,"Base","15.25","1,199","01:30:01","157","171","3.4","163","174","5:54","4:33","--","--","1.23","0.0","14,624","No","00:00:01.4","19","01:29:13","01:30:01","--","--"
Running,2026-02-05 20:19:55,false,"Louisville - Base","8.78","643","00:46:26","149","159","2.9","167","189","5:17","3:50","32","30","1.14","0.0","7,720","No","00:01:25.9","10","00:46:13","00:46:57","140","149"
Running,2026-02-04 19:28:36,false,"Louisville - Threshold","14.75","980","01:03:32","160","175","4.0","169","220","4:18","3:20","67","65","1.36","0.0","10,778","No","00:00:04.0","19","01:03:04","01:05:16","140","149"
Running,2026-02-03 11:56:04,false,"Louisville - Base","7.08","507","00:41:52","143","164","2.4","162","187","5:55","4:01","12","22","1.04","0.0","6,834","No","00:00:34.1","8","00:41:36","00:49:32","128","152"
Treadmill Running,2026-02-02 07:41:01,false,"Threshold","11.20","719","00:55:49","162","183","3.4","158","196","4:59","2:42","--","--","1.19","0.0","8,742","No","00:01:48.6","16","00:54:13","00:56:27","--","--"
Running,2026-02-01 19:56:41,false,"Louisville - Recovery","6.67","457","00:35:00","140","150","2.4","166","183","5:15","4:31","28","32","1.15","0.0","5,802","No","00:00:43.9","8","00:34:53","00:38:41","140","149"
Running,2026-01-31 20:06:53,false,"Louisville - Base","10.10","719","00:51:04","154","173","3.2","162","212","5:03","2:57","48","48","1.22","0.0","8,312","No","00:02:03.5","11","00:50:50","01:01:29","140","149"
Running,2026-01-30 19:49:09,false,"Louisville - Base","7.83","586","00:42:01","151","162","2.9","170","183","5:22","4:43","41","39","1.10","0.0","7,144","No","00:04:44.0","8","00:41:56","00:47:00","140","149"
Running,2026-01-29 19:37:29,false,"Louisville - Base","17.91","1,303","01:31:17","154","168","3.7","170","196","5:06","3:41","73","70","1.15","0.0","15,518","No","00:01:17.0","19","01:31:11","01:35:10","140","149"
Running,2026-01-28 19:49:59,false,"Louisville - Base","11.61","826","00:58:21","152","161","3.1","171","191","5:02","3:51","55","55","1.16","0.0","9,956","No","00:03:20.0","12","00:58:17","00:59:02","140","146"
Running,2026-01-27 20:29:02,false,"Louisville Running","9.19","700","00:45:47","166","187","3.5","167","183","4:59","4:15","50","49","1.20","0.0","7,640","No","00:00:59.4","10","00:45:45","00:46:32","140","146"
Running,2026-01-24 10:40:00,false,"Louisville - Base","10.04","737","00:56:52","149","167","2.7","167","182","5:40","5:05","37","37","1.06","0.0","9,438","No","00:02:57.6","11","00:56:49","00:57:19","140","149"
Running,2026-01-23 09:24:02,false,"Louisville - Tempo","13.91","920","01:00:12","161","182","3.8","170","196","4:20","3:08","36","35","1.36","0.0","10,198","No","00:00:11.7","16","01:00:09","01:07:46","137","150"
Running,2026-01-23 09:15:53,false,"Louisville Running","1.10","74","00:06:59.5","129","162","0.5","166","174","6:21","5:41","4","--","0.95","0.0","1,170","No","00:00:32.7","2","00:06:57.7","00:07:45.9","143","150"
Running,2026-01-22 12:01:29,false,"Louisville - Base","11.75","838","01:02:46","152","185","3.2","158","226","5:20","2:44","2","3","1.17","0.0","9,952","No","00:00:13.1","20","01:02:17","01:04:35","139","144"
Running,2026-01-21 11:15:12,false,"Louisville - Base","13.01","932","01:07:22","149","165","3.2","166","185","5:11","4:05","19","20","1.16","0.0","11,188","No","00:01:38.5","14","01:07:03","01:14:02","140","149"
Running,2026-01-20 11:36:18,false,"Louisville Running","1.80","128","00:11:01","132","145","1.0","170","177","6:08","5:31","8","13","0.96","0.0","1,880","No","00:04:33.5","2","00:10:51","00:12:52","140","149"
Running,2026-01-20 10:54:08,false,"threshold ","9.28","594","00:38:29","164","176","3.3","169","193","4:09","3:00","34","32","1.40","0.0","6,548","No","00:00:20.6","12","00:37:34","00:38:30","140","150"
Running,2026-01-20 10:32:40,false,"Louisville Running","2.75","193","00:14:25","152","181","2.0","169","200","5:14","3:06","27","11","1.13","0.0","2,446","No","00:00:10.5","7","00:14:10","00:15:01","132","149"
Running,2026-01-19 13:42:16,false,"Louisville - Base","10.13","728","00:49:02","151","161","3.4","166","182","4:50","3:46","26","25","1.25","0.0","8,088","No","00:00:02.3","12","00:48:55","00:49:20","137","150"
